Lead Number;Name;Lead Origin;Lead Source;Converted;TotalVisits;Total Time Spent on Website;Page Views Per Visit;Country;Specialization;What is your current occupation;City;A free copy of Mastering The Interview
620626;Dhanasekar Pandit;Landing Page Submission;Direct Traffic;0;1;192;1;India;;Student;Other Cities;No
620624;Abneesh Mishra;API;Google;0;3;63;3;India;Select;Unemployed;Select;No
620608;Raghavan Divedi;Landing Page Submission;Direct Traffic;0;1;784;1;India;;Student;Other Cities of Maharashtra;No
620607;Ravendra Rao;Landing Page Submission;Direct Traffic;0;2;75;2;India;;Working Professional;Mumbai;No
620605;Sushanth Mishra;API;Olark Chat;0;0;0;0;;;;;No
620588;Jashwant Kumar;Landing Page Submission;Google;0;2;461;2;India;Finance Management;Unemployed;Mumbai;No
620563;Raghul Rai;API;Google;0;8;89;2.67;India;Finance Management;Unemployed;Other Cities of Maharashtra;Yes
620553;Dibya Ranjan Thakur;Landing Page Submission;Google;0;3;22;3;India;Finance Management;;Other Cities;No
620550;Gangu Vishwakarma;API;Google;0;6;154;6;India;;;;No
620543;Shama Seth;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
620522;Hiren Pandey;Landing Page Submission;Direct Traffic;0;3;1685;1.5;India;;Student;Mumbai;No
620517;Banri Pandit;API;Olark Chat;1;0;0;0;;Human Resource Management;Working Professional;Select;No
620507;Akku Singh;Landing Page Submission;Direct Traffic;1;3;321;3;United Arab Emirates;Marketing Management;;Other Cities;Yes
620505;Appa Pandit;Landing Page Submission;Direct Traffic;1;3;1820;3;India;Marketing Management;Unemployed;Mumbai;Yes
620504;Nagji Yadav;API;Olark Chat;0;0;0;0;;;;;No
620501;Thakor Yadav;Landing Page Submission;Google;1;3;924;3;India;Marketing Management;Working Professional;Mumbai;No
620493;Bipin Kumar Pratap;API;Olark Chat;0;0;0;0;;;;;No
620476;Rajula Rai;API;Olark Chat;0;0;0;0;;;;;No
620474;Mohon Mishra;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
620468;Nihar Ranjan Tiwari;Landing Page Submission;Google;0;3;210;3;India;Finance Management;Unemployed;Other Cities;No
620463;Rathan Thakur;API;Organic Search;0;4;1434;4;India;;;;No
620456;Yug Srivastav;API;Google;0;1;339;1;India;Select;Unemployed;Select;No
620454;Dharambir Tiwari;Lead Add Form;Reference;1;6;1812;2;India;Marketing Management;Unemployed;Mumbai;Yes
620439;Saidur Rai;Landing Page Submission;Direct Traffic;0;2;350;2;India;Human Resource Management;;Thane & Outskirts;No
620429;Fariyad Pandey;Landing Page Submission;Direct Traffic;1;11;1505;3.67;India;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;Yes
620420;Abneesh Mishra;Landing Page Submission;Google;1;8;787;4;India;Operations Management;;Mumbai;No
620414;Naobi Kumar;API;Olark Chat;0;0;0;0;;;;;No
620405;Kali Seth;Landing Page Submission;Direct Traffic;0;8;306;8;India;Media and Advertising;Unemployed;Other Cities;Yes
620391;Satyajit Rao;API;Olark Chat;0;0;0;0;;;;;No
620385;Khima Devi;Landing Page Submission;Google;0;6;1049;2;India;Hospitality Management;Unemployed;Mumbai;No
620376;Sukhpreet Vishwakarma;API;Google;1;2;683;2;India;Select;Unemployed;Select;No
620372;Anoj Pandey;Landing Page Submission;Direct Traffic;1;6;1703;6;India;Marketing Management;Unemployed;Mumbai;Yes
620363;Konda Sonkar;Landing Page Submission;Direct Traffic;1;2;964;2;India;IT Projects Management;;Mumbai;Yes
620326;Dinanath Kumari;API;Direct Traffic;1;16;1482;1.23;India;Select;Unemployed;Select;No
620304;Suka Kumar;Landing Page Submission;Direct Traffic;1;5;264;5;India;Finance Management;Working Professional;Thane & Outskirts;Yes
620285;Kantilal Divedi;API;Google;0;4;429;2;India;;;;No
620278;Peddi Seth;Landing Page Submission;Google;1;6;1049;3;India;Business Administration;Unemployed;Mumbai;No
620276;Pravinkumar Pratap;Landing Page Submission;Direct Traffic;0;4;363;4;India;Finance Management;Unemployed;Mumbai;No
620274;Neetu Maurya;API;Google;1;3;1177;3;India;Finance Management;Working Professional;Select;No
620273;Haushila Srivastav;Landing Page Submission;Google;1;5;140;5;India;E-COMMERCE;Unemployed;Mumbai;No
620260;Vamsi Krishna Maurya;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
620255;Vhora Seth;Landing Page Submission;Google;0;7;115;3.5;India;Operations Management;Unemployed;Mumbai;No
620226;Akasha Vishwakarma;API;Google;0;1;82;1;India;Human Resource Management;Unemployed;Select;No
620223;Rohan Kumar Rajput;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
620221;Parth Srivastav;Landing Page Submission;Google;0;5;1096;2.5;India;Finance Management;Unemployed;Mumbai;Yes
620220;Prabhu Lal Pandit;API;Organic Search;0;1;117;1;India;Select;Unemployed;Select;No
620216;Chakraborty Thakur;Landing Page Submission;Google;1;4;549;4;India;Business Administration;Unemployed;Mumbai;No
620193;Lingappa Rai;Landing Page Submission;Google;0;5;588;5;India;Human Resource Management;Unemployed;Thane & Outskirts;No
620189;Sukhan Tiwari;Lead Add Form;Reference;1;0;0;0;;Healthcare Management;Unemployed;Mumbai;No
620185;Babu Lal Sonkar;API;Google;1;9;351;4.5;India;International Business;Unemployed;Other Cities of Maharashtra;No
620179;Abneesh Mishra;Landing Page Submission;Google;1;6;1212;3;India;Human Resource Management;Unemployed;Thane & Outskirts;Yes
620177;Jegan Thakur;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
620170;Bhupi Srivastav;Landing Page Submission;Direct Traffic;0;1;199;1;India;Marketing Management;Student;Mumbai;Yes
620157;Shahnaz Seth;Lead Add Form;Reference;1;0;0;0;India;Human Resource Management;Unemployed;Mumbai;No
620155;Nagarajan Rajput;Landing Page Submission;Google;1;4;1387;4;India;Operations Management;Unemployed;Mumbai;No
620147;Nagaiah Thakur;API;Google;0;3;51;1.5;India;Select;Unemployed;Select;No
620137;Jackey Yadav;Landing Page Submission;Google;1;4;1674;4;India;Finance Management;Working Professional;Mumbai;No
620115;Aniruddh Srivastav;Landing Page Submission;Google;1;4;158;4;India;International Business;Unemployed;Mumbai;No
620113;Srabani Rai;Landing Page Submission;Direct Traffic;0;4;162;4;India;Human Resource Management;Unemployed;Other Cities of Maharashtra;Yes
620110;Arumugam Sonkar;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
620064;Ketan Pandey;Landing Page Submission;Google;0;3;388;3;India;Supply Chain Management;;Mumbai;No
620055;Halappa Sonkar;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
620028;Sridam Rai;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
619985;Dwarakadaas Maurya;Landing Page Submission;Organic Search;0;3;452;3;India;Marketing Management;Unemployed;Mumbai;Yes
619952;Rajusingh Pandey;API;Google;1;2;464;2;India;;;;No
619930;Hitesh Pandey;API;Olark Chat;1;0;0;0;;Marketing Management;Unemployed;Select;No
619919;Mausam Tiwari;Landing Page Submission;Organic Search;0;5;1059;5;United States;Business Administration;Unemployed;Other Cities;Yes
619902;Aawara Rajput;Landing Page Submission;Google;1;3;449;3;India;Operations Management;Working Professional;Mumbai;No
619901;V K Thakur;Landing Page Submission;Direct Traffic;0;3;34;1.5;India;Finance Management;;Other Metro Cities;Yes
619894;Baidhnath Tiwari;Landing Page Submission;Direct Traffic;1;4;929;4;India;IT Projects Management;Unemployed;Other Metro Cities;Yes
619890;Joyshree Seth;Landing Page Submission;Direct Traffic;1;6;78;6;India;Travel and Tourism;Unemployed;Thane & Outskirts;Yes
619884;Emam Srivastav;Landing Page Submission;Google;0;6;1217;6;India;Human Resource Management;Unemployed;Other Cities;No
619870;Chinmay Tiwari;Landing Page Submission;Direct Traffic;1;2;688;2;India;Operations Management;Working Professional;Other Metro Cities;No
619857;Krupali Rajput;Landing Page Submission;Direct Traffic;1;3;718;1.5;India;IT Projects Management;;Other Cities of Maharashtra;Yes
619846;Munabhai Seth;Landing Page Submission;Direct Traffic;0;4;348;4;India;IT Projects Management;Unemployed;Other Cities of Maharashtra;Yes
619821;Joyanta Yadav;Landing Page Submission;Direct Traffic;0;3;500;3;India;Finance Management;Unemployed;Mumbai;Yes
619819;Stuti Yadav;Landing Page Submission;Direct Traffic;0;6;9;6;India;Finance Management;Unemployed;Mumbai;Yes
619799;Div Gupta;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
619793;Bhole Tiwari;Landing Page Submission;Direct Traffic;1;7;1008;3.5;India;"Banking; Investment And Insurance";Working Professional;Other Cities of Maharashtra;Yes
619786;Anshita Gupta;Landing Page Submission;Direct Traffic;1;2;1436;2;India;Finance Management;;Thane & Outskirts;Yes
619784;Nipen Sonkar;Landing Page Submission;Direct Traffic;1;3;700;3;India;E-COMMERCE;Unemployed;Mumbai;Yes
619766;Harender Tiwari;Landing Page Submission;Direct Traffic;0;2;516;2;India;Finance Management;Working Professional;Thane & Outskirts;Yes
619761;Nimu Rao;API;Organic Search;0;3;112;3;India;Select;Unemployed;Select;No
619683;Mudhiraj Sonkar;API;Olark Chat;0;0;0;0;;Marketing Management;Unemployed;Select;No
619676;Krupesh Maurrya;Landing Page Submission;Direct Traffic;1;8;489;8;India;Finance Management;Unemployed;Mumbai;Yes
619673;Guddoo Rajput;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
619649;Thimma Srivastav;Landing Page Submission;Google;1;4;765;4;India;Finance Management;Working Professional;Other Cities of Maharashtra;No
619646;Sath Maurya;API;Organic Search;0;4;1280;2;India;;;;No
619629;Vd Tiwari;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
619626;Jigisha Kumari;Landing Page Submission;Direct Traffic;0;1;303;1;India;Supply Chain Management;;Mumbai;Yes
619624;Luhit Divedi;Landing Page Submission;Direct Traffic;1;3;1643;3;India;IT Projects Management;Unemployed;Mumbai;Yes
619603;Karun Rao;Landing Page Submission;Google;0;2;315;2;India;Human Resource Management;Unemployed;Mumbai;No
619580;Riyaa Tiwari;API;Google;0;4;29;2;India;Select;Unemployed;Select;No
619569;Padmanav Vishwakarma;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Other Metro Cities;No
619567;Sankari Sonkar;API;Google;1;6;151;1;India;Select;Unemployed;Select;No
619558;Himanchal Vishwakarma;Landing Page Submission;Direct Traffic;0;9;234;1.8;India;Finance Management;Unemployed;Mumbai;No
619556;Gnanavel Rajput;Lead Add Form;Reference;1;0;0;0;;Finance Management;Unemployed;Mumbai;No
619550;Naba Jyoti Pratap;Landing Page Submission;Direct Traffic;1;3;835;3;India;Human Resource Management;Working Professional;Other Cities;Yes
619538;Kavinder Mishra;API;Google;0;6;317;6;India;Marketing Management;;Mumbai;Yes
619537;Deepak Sharma Tiwari;Landing Page Submission;Google;1;6;1400;2;India;Finance Management;Unemployed;Other Cities of Maharashtra;No
619534;Banda Yadav;API;Organic Search;0;6;124;6;India;Select;Unemployed;Select;No
619533;Hirendra Sonkar;API;Google;0;3;242;1.5;India;Select;Unemployed;Select;No
619527;Deepam Yadav;API;Olark Chat;0;0;0;0;;;;;No
619524;Md Gufran Maurrya;API;Organic Search;1;7;68;7;India;Marketing Management;Businessman;Other Cities;No
619523;Amankumar Singh;API;Olark Chat;0;0;0;0;;;;;No
619515;Baishali Seth;Landing Page Submission;Direct Traffic;0;5;1515;2.5;India;Finance Management;Unemployed;Thane & Outskirts;Yes
619506;Sathisha Yadav;API;Olark Chat;0;0;0;0;;;;;No
619503;Ek Srivastav;Landing Page Submission;Google;1;3;1160;3;India;Marketing Management;Unemployed;Thane & Outskirts;No
619500;Navi Devi;API;Olark Chat;0;0;0;0;;;;;No
619497;Yatharth Divedi;Landing Page Submission;Google;1;4;409;4;India;Finance Management;Unemployed;Mumbai;No
619490;Mudassir Rao;Landing Page Submission;Google;1;4;395;4;India;International Business;;Other Cities;Yes
619487;Savita Singh;API;Organic Search;1;8;1138;2;India;Finance Management;Unemployed;Thane & Outskirts;No
619486;Jaibir Rao;API;Google;1;6;1352;2;India;Business Administration;Unemployed;Thane & Outskirts;No
619478;Moid Thakur;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
619446;Navinkumar Seth;API;Google;0;5;1132;1.25;India;;;;No
619437;Dayasagar Devi;Lead Add Form;Reference;1;0;0;0;;E-COMMERCE;Student;Mumbai;No
619428;Karuppaiah Thakur;API;Olark Chat;1;0;0;0;;;;;No
619425;Abneesh Mishra;Lead Add Form;Click2call;1;0;0;0;;Finance Management;Unemployed;Mumbai;No
619421;Prudvi Kumar;Landing Page Submission;Organic Search;0;7;97;7;India;Supply Chain Management;;Mumbai;Yes
619413;Mohan Thakur;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
619408;Itz Sonkar;API;Organic Search;1;2;1302;1;India;;;;No
619402;Chaarudatt Sonkar;API;Google;0;3;1562;1;India;;;;No
619391;Liyakat Rajput;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
619366;Baliram Srivastav;Landing Page Submission;Google;1;3;1039;1.5;India;Operations Management;Unemployed;Mumbai;Yes
619325;Rizban Rajput;Landing Page Submission;Direct Traffic;0;9;176;3;India;Supply Chain Management;Unemployed;Mumbai;No
619321;Probin Mishra;Landing Page Submission;Direct Traffic;0;4;590;4;India;IT Projects Management;Unemployed;Other Metro Cities;Yes
619314;Dhannajay Gupta;Landing Page Submission;Direct Traffic;1;4;52;4;India;Marketing Management;Working Professional;Other Cities;Yes
619310;Shohidur Rajput;API;Olark Chat;0;0;0;0;;;;;No
619292;Shampa Rao;API;Google;0;2;533;2;India;;;;No
619291;Shrabani Yadav;Lead Add Form;Click2call;1;2;928;2;;Human Resource Management;Unemployed;Mumbai;No
619285;Lipi Pandit;Landing Page Submission;Google;0;2;49;2;India;Supply Chain Management;Unemployed;Mumbai;No
619276;Nirdesh Pandit;Landing Page Submission;Direct Traffic;1;3;1552;3;India;Media and Advertising;Unemployed;Tier II Cities;Yes
619272;Sangeta Sonkar;API;Olark Chat;1;0;0;0;;Finance Management;Working Professional;Select;No
619271;Salimkhan Sonkar;Landing Page Submission;Google;0;4;111;4;India;Media and Advertising;;Mumbai;Yes
619268;Afsar Ali Pandey;API;Google;0;2;305;2;India;;;;No
619261;Babitha Pandit;API;Olark Chat;0;0;0;0;;;;;No
619260;Mitesh Singh;API;Google;0;2;66;2;India;;;;No
619246;Pobitra Pandit;Landing Page Submission;Google;1;3;304;3;India;Operations Management;Working Professional;Mumbai;No
619240;Suvankar Sonkar;Landing Page Submission;Direct Traffic;1;10;1619;3.33;India;Human Resource Management;Unemployed;Mumbai;Yes
619234;Hamraj Mishra;Landing Page Submission;Google;1;5;950;5;India;"Banking; Investment And Insurance";;Mumbai;No
619228;Sanat Rajput;Lead Add Form;Reference;1;0;0;0;;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;No
619225;Jitendrakumar Yadav;Landing Page Submission;Organic Search;1;19;1146;2.71;India;Rural and Agribusiness;Working Professional;Other Cities;Yes
619210;Abuthahir Tiwari;Landing Page Submission;Organic Search;0;9;1063;3;India;Finance Management;Unemployed;Mumbai;Yes
619196;Rajni Mishra;Lead Add Form;Reference;1;;1427;;;Select;Unemployed;Select;No
619195;Dinkar Sonkar;Landing Page Submission;Organic Search;1;8;1408;4;India;Hospitality Management;Unemployed;Other Metro Cities;Yes
619183;Suruj Devi;Landing Page Submission;Google;0;5;176;1.25;India;Supply Chain Management;Unemployed;Mumbai;Yes
619182;Nang Pratap;Landing Page Submission;Direct Traffic;0;3;230;3;India;Finance Management;;Mumbai;No
619176;Suman Srivastav;API;Google;0;3;91;1.5;India;;;;No
619174;Aslam Khan Pandit;Landing Page Submission;Google;0;7;23;7;India;Retail Management;;Mumbai;No
619170;Madeva Pandit;Lead Add Form;Reference;1;0;0;0;;Finance Management;Unemployed;Thane & Outskirts;No
619164;Billa Thakur;API;Google;0;2;346;1;India;;;;No
619151;Priyanka Kumari Pratap;API;Direct Traffic;1;12;942;12;India;Supply Chain Management;Unemployed;Thane & Outskirts;No
619144;Pramendra Rai;Landing Page Submission;Google;1;5;1473;5;India;Marketing Management;Unemployed;Other Cities;No
619142;Kashu Tiwari;Landing Page Submission;Google;0;4;217;4;India;Operations Management;Unemployed;Thane & Outskirts;No
619137;Tiwari Rajput;Landing Page Submission;Google;0;7;136;3.5;India;Finance Management;;Mumbai;No
619119;Ashok Singh Mishra;Landing Page Submission;Google;1;4;888;4;India;Finance Management;Unemployed;Mumbai;No
619118;Tapa Gupta;API;Google;0;5;747;2.5;India;;;;No
619098;Ranjit Kumar Pandey;Landing Page Submission;Direct Traffic;1;2;1282;2;India;Human Resource Management;Unemployed;Thane & Outskirts;Yes
619090;Shahinur Kumari;Landing Page Submission;Google;1;6;842;6;India;Finance Management;Unemployed;Mumbai;No
619066;Lalitha Rao;Landing Page Submission;Direct Traffic;0;1;2;1;India;Hospitality Management;Unemployed;Mumbai;Yes
619064;Dayanand Rajput;API;Olark Chat;0;0;0;0;;;;;No
619060;Manjeet Singh Vishwakarma;API;Olark Chat;0;0;0;0;;;;;No
619054;Murgan Thakur;API;Google;1;2;1594;1;Asia/Pacific Region;;;;No
619044;Sri Mishra;Landing Page Submission;Direct Traffic;1;6;1207;6;India;Finance Management;;Tier II Cities;Yes
619041;Girendra Pratap;Landing Page Submission;Google;0;4;57;4;India;Operations Management;;Other Metro Cities;No
619035;Vinay Yadav Maurrya;API;Organic Search;1;4;299;4;India;;;;No
619022;Mrityunjay Devi;API;Organic Search;0;9;251;4.5;India;Select;Unemployed;Select;No
619020;Durgash Maurya;Landing Page Submission;Google;1;5;1351;2.5;India;Human Resource Management;;Other Metro Cities;Yes
619003;Neeraj Yadav Pandit;API;Direct Traffic;1;8;1011;8;India;;;;No
619000;Marjina Maurrya;Landing Page Submission;Google;0;6;49;2;India;Operations Management;Unemployed;Mumbai;Yes
618999;Md Rijwan Mishra;Landing Page Submission;Google;1;3;1618;1.5;India;Select;Unemployed;Mumbai;No
618983;Rohit Divedi;Landing Page Submission;Referral Sites;1;5;551;2.5;;Operations Management;Unemployed;Mumbai;Yes
618977;Chaarudatt Singh;Landing Page Submission;Google;0;2;106;2;India;Marketing Management;Unemployed;Other Cities;No
618971;Monukumar Kumar;Landing Page Submission;Google;0;4;1058;4;India;Marketing Management;;Mumbai;No
618952;Prite Maurrya;Landing Page Submission;Direct Traffic;1;12;179;6;India;Finance Management;Unemployed;Mumbai;Yes
618943;Nageswar Kumar;API;Organic Search;0;2;391;2;India;Select;Unemployed;Select;No
618932;Tarak Mishra;API;Google;0;1;305;1;India;Select;Unemployed;Select;No
618917;Zualtei Maurrya;Landing Page Submission;Direct Traffic;1;2;454;2;India;Marketing Management;Unemployed;Mumbai;Yes
618915;Raghaw Thakur;API;Olark Chat;0;0;0;0;;;;;No
618896;Kutubuddin Mishra;Landing Page Submission;Direct Traffic;0;2;63;2;India;Operations Management;Unemployed;Mumbai;Yes
618866;Basava Kumari;Landing Page Submission;Direct Traffic;1;9;1242;9;India;Supply Chain Management;Working Professional;Mumbai;Yes
618850;Gitashree Thakur;API;Organic Search;0;2;375;2;India;Select;Unemployed;Select;No
618845;Kuntal Pandey;API;Direct Traffic;0;1;1075;1;India;Select;Unemployed;Select;No
618841;Mithan Mishra;Landing Page Submission;Direct Traffic;1;8;718;2;India;Media and Advertising;Unemployed;Mumbai;Yes
618838;Rahulsingh Rao;Landing Page Submission;Direct Traffic;1;3;105;3;India;IT Projects Management;Working Professional;Mumbai;Yes
618835;Ajay Sharma Rajput;Landing Page Submission;Direct Traffic;0;1;165;1;India;Marketing Management;Unemployed;Thane & Outskirts;Yes
618807;Sombir Divedi;API;Google;0;3;381;3;India;Human Resource Management;Unemployed;Thane & Outskirts;No
618782;Surj Rajput;Landing Page Submission;Direct Traffic;1;10;744;2;India;Select;;Mumbai;No
618777;Kanti Yadav;Landing Page Submission;Direct Traffic;0;3;14;3;Singapore;"Banking; Investment And Insurance";Unemployed;Mumbai;Yes
618766;Aqib Seth;Landing Page Submission;Direct Traffic;0;2;331;2;India;Media and Advertising;;Mumbai;Yes
618747;Irfan Sonkar;Landing Page Submission;Google;1;5;1125;5;India;Marketing Management;Unemployed;Mumbai;No
618729;Shivangi Rai;API;Google;1;2;1240;1;India;IT Projects Management;Unemployed;Thane & Outskirts;No
618713;Negi Rajput;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
618705;Vinoth Yadav;API;Google;0;2;118;2;India;Select;Unemployed;Select;No
618670;Sangeta Maurrya;API;Google;1;4;1891;4;India;Finance Management;Unemployed;Mumbai;No
618650;Karuppaiah Pandit;API;Olark Chat;1;0;0;0;;Rural and Agribusiness;Unemployed;Select;No
618634;Om Parkash Gupta;Landing Page Submission;Direct Traffic;1;2;1376;2;India;Hospitality Management;Working Professional;Other Metro Cities;Yes
618581;Toshif Seth;Landing Page Submission;Direct Traffic;0;2;287;2;India;"Banking; Investment And Insurance";;Thane & Outskirts;Yes
618578;Narasimha Seth;Landing Page Submission;Organic Search;0;8;269;8;India;Finance Management;Unemployed;Other Metro Cities;Yes
618575;Chavi Kumar;API;Google;0;2;1271;2;India;;;;No
618571;Hare Pandit;API;Olark Chat;0;1;328;1;India;Healthcare Management;Unemployed;Other Cities;Yes
618565;Sandhu Tiwari;API;Google;0;5;162;2.5;India;Select;Unemployed;Select;No
618564;Rajendrasingh Mishra;API;Google;0;3;611;3;India;;;;No
618523;Govindu Thakur;API;Olark Chat;0;0;0;0;;;;;No
618507;Shreekant Srivastav;Landing Page Submission;Google;1;6;373;6;India;Finance Management;Unemployed;Mumbai;No
618506;Chandrbhan Vishwakarma;API;Olark Chat;0;0;0;0;;;;;No
618500;Drema Sonkar;Landing Page Submission;Organic Search;0;4;1098;4;India;"Banking; Investment And Insurance";Unemployed;Select;No
618494;Raaj Gupta;API;Google;0;2;155;2;India;Select;Unemployed;Select;No
618476;Parshu Sonkar;API;Olark Chat;0;0;0;0;;;;;No
618449;Kishan Singh Pratap;API;Olark Chat;0;3;172;1.5;India;Human Resource Management;Unemployed;Select;No
618437;Shamim Rajput;API;Organic Search;0;3;268;3;India;Select;Unemployed;Select;No
618435;Jayasri Rai;API;Google;1;3;168;1.5;India;Select;Unemployed;Select;No
618430;Sushmitha Divedi;API;Google;0;2;1440;2;India;Select;Unemployed;Select;No
618429;Bela Yadav;API;Google;0;5;610;2.5;India;Select;Unemployed;Select;No
618419;Fajan Thakur;API;Olark Chat;0;0;0;0;;;;;No
618416;Dhritiman Gupta;Landing Page Submission;Direct Traffic;1;9;476;3;India;E-Business;;Mumbai;Yes
618414;Chandeedaas Srivastav;Landing Page Submission;Direct Traffic;1;3;128;3;India;Marketing Management;Unemployed;Mumbai;Yes
618413;Shobhnath Thakur;Landing Page Submission;Google;1;5;178;5;India;Marketing Management;Unemployed;Mumbai;No
618407;Paru Pandey;API;Olark Chat;0;0;0;0;;;;;No
618401;Akay Maurya;Landing Page Submission;Google;1;4;1107;2;India;Marketing Management;Unemployed;Mumbai;Yes
618394;Simpy Vishwakarma;API;Olark Chat;0;0;0;0;;;;;No
618387;Md Afroj Vishwakarma;API;Olark Chat;0;5;393;2.5;United Arab Emirates;Operations Management;;Other Metro Cities;No
618361;Drona Vishwakarma;Landing Page Submission;Google;0;6;289;3;India;Marketing Management;Unemployed;Mumbai;No
618358;Data Yadav;Landing Page Submission;Direct Traffic;0;2;1316;2;India;IT Projects Management;Student;Mumbai;Yes
618350;Shubham Kumar Singh;API;Olark Chat;0;0;0;0;;;;;No
618341;Akhaya Rao;Landing Page Submission;Direct Traffic;0;1;234;1;India;Rural and Agribusiness;Unemployed;Mumbai;Yes
618339;Abneesh Mishra;API;Google;1;4;586;2;India;;;;No
618334;Nitin Rai;API;Olark Chat;0;4;169;1.33;India;Supply Chain Management;;Thane & Outskirts;Yes
618332;Aadinath Kumari;Landing Page Submission;Google;1;3;1367;3;India;Human Resource Management;;Other Cities of Maharashtra;No
618310;Razik Yadav;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Student;Mumbai;No
618288;Chavan Seth;Landing Page Submission;Direct Traffic;1;2;1311;2;India;Human Resource Management;Unemployed;Other Cities;Yes
618270;Mudu Pandey;Landing Page Submission;Google;0;6;197;3;India;E-Business;Unemployed;Mumbai;No
618267;Tejal Kumar;Landing Page Submission;Google;1;5;920;5;India;International Business;;Mumbai;No
618253;Gurvinder Rajput;Landing Page Submission;Direct Traffic;1;20;155;4;India;Business Administration;Unemployed;Other Cities;Yes
618248;Lalbahadur Srivastav;Lead Add Form;Reference;1;0;0;0;;Healthcare Management;Unemployed;Mumbai;No
618235;Rishipal Thakur;Landing Page Submission;Direct Traffic;0;6;531;6;India;Supply Chain Management;Unemployed;Mumbai;Yes
618210;Braham Gupta;Landing Page Submission;Direct Traffic;1;4;1333;2;India;Media and Advertising;Unemployed;Mumbai;Yes
618206;Bp Rajput;Landing Page Submission;Organic Search;1;5;1042;1.67;India;Media and Advertising;Working Professional;Mumbai;No
618175;Aarushi Pandey;Landing Page Submission;Google;0;5;167;2.5;India;Marketing Management;;Other Cities;No
618141;Bhalendra Gupta;Landing Page Submission;Direct Traffic;0;2;29;2;Uganda;Marketing Management;Unemployed;Other Cities;Yes
618132;Shivchandra Pandey;Landing Page Submission;Direct Traffic;1;3;399;3;India;Rural and Agribusiness;Unemployed;Other Cities of Maharashtra;Yes
618125;Abneesh Mishra;API;Olark Chat;1;0;0;0;;"Banking; Investment And Insurance";Unemployed;Thane & Outskirts;No
618111;Surinder Singh Tiwari;Landing Page Submission;Google;0;5;120;5;India;Marketing Management;Unemployed;Mumbai;No
618102;Chagala Tiwari;Landing Page Submission;Google;0;7;406;7;India;Human Resource Management;Unemployed;Mumbai;No
618080;Ishita Sonkar;API;Organic Search;0;4;811;4;India;;;;No
618074;Mabiaki Srivastav;Landing Page Submission;Direct Traffic;0;3;85;3;India;Business Administration;Unemployed;Other Metro Cities;Yes
618062;Sarpanch Divedi;Landing Page Submission;Direct Traffic;1;2;1412;2;India;Finance Management;Unemployed;Other Metro Cities;Yes
618049;Kharadi Yadav;API;Google;0;3;1259;3;India;Select;Unemployed;Select;No
618041;Barat Pratap;Landing Page Submission;Organic Search;1;14;438;7;India;Operations Management;Unemployed;Other Metro Cities;Yes
618022;Sms Pandit;Landing Page Submission;Google;0;2;246;2;India;Select;Unemployed;Mumbai;No
617992;Jenti Srivastav;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
617991;Vyankatesh Sonkar;Landing Page Submission;Direct Traffic;1;2;172;2;India;Business Administration;Unemployed;Mumbai;Yes
617975;Md Afzal Rajput;Landing Page Submission;Direct Traffic;1;4;1246;4;India;IT Projects Management;Unemployed;Mumbai;Yes
617969;Abneesh Mishra;Landing Page Submission;Direct Traffic;0;1;301;1;India;Finance Management;;Mumbai;Yes
617962;Avadesh Rao;API;Olark Chat;0;0;0;0;;;;;No
617958;Ravi Singh Rajput;API;Olark Chat;0;0;0;0;;;;;No
617944;Shetan Pratap;API;Olark Chat;0;0;0;0;;;;;No
617934;Bhumit Maurrya;Landing Page Submission;Google;1;8;190;4;India;IT Projects Management;Unemployed;Mumbai;No
617929;Gangu Singh;Lead Add Form;Reference;1;0;0;0;;Marketing Management;Unemployed;Thane & Outskirts;No
617920;Hajari Rao;API;Organic Search;1;5;1357;2.5;India;Marketing Management;Working Professional;Thane & Outskirts;No
617909;Boini Maurrya;API;Organic Search;0;5;533;5;India;;;;No
617905;Gupteswar Srivastav;Landing Page Submission;Google;0;2;232;2;India;Marketing Management;Unemployed;Thane & Outskirts;No
617897;Saminathan Pratap;Landing Page Submission;Direct Traffic;0;2;31;2;India;Human Resource Management;Unemployed;Mumbai;Yes
